refdes,pin,voltage,current,rpin
VCOMP60,VCOMP60-0,3.31065,-0.5,0.369231
VCOMP60,VCOMP60-1,0.015057,0.0416995,0.369231
VCOMP60,VCOMP60-2,0.015067,0.0416722,0.369231
VCOMP60,VCOMP60-3,0.0150746,0.0416518,0.369231
VCOMP60,VCOMP60-4,0.0150412,0.0417422,0.369231
VCOMP60,VCOMP60-5,0.0150579,0.041697,0.369231
VCOMP60,VCOMP60-6,0.0150716,0.0416599,0.369231
VCOMP60,VCOMP60-7,0.0150102,0.0418261,0.369231
VCOMP60,VCOMP60-8,0.0150419,0.0417403,0.369231
VCOMP60,VCOMP60-9,0.015064,0.0416804,0.369231
VCOMP60,VCOMP60-10,0.0154554,0.0406203,0.369231
VCOMP60,VCOMP60-11,0.0146747,0.0427349,0.369231
VCOMP60,VCOMP60-12,0.0152136,0.0412752,0.369231
VCOMP61,VCOMP61-0,3.288,-0.0999998,1.66667
VCOMP61,VCOMP61-1,0.0141004,0.0199752,1.66667
VCOMP61,VCOMP61-2,0.0141464,0.0199476,1.66667
VCOMP61,VCOMP61-3,0.0140536,0.0200034,1.66667
VCOMP61,VCOMP61-4,0.0139967,0.0200375,1.66667
VCOMP61,VCOMP61-5,0.013999,0.0200361,1.66667
VCOMP62,VCOMP62-0,3.28938,-0.0999998,1.66667
VCOMP62,VCOMP62-1,0.0143205,0.0199403,1.66667
VCOMP62,VCOMP62-2,0.0144511,0.019862,1.66667
VCOMP62,VCOMP62-3,0.014385,0.0199017,1.66667
VCOMP62,VCOMP62-4,0.0141666,0.0200327,1.66667
VCOMP62,VCOMP62-5,0.0137827,0.0202631,1.66667
VCOMP63,VCOMP63-0,3.28414,-0.0253714,1.6
VCOMP63,VCOMP63-1,3.28332,-0.0248569,1.6
VCOMP63,VCOMP63-2,3.28334,-0.0248683,1.6
VCOMP63,VCOMP63-3,3.28339,-0.0249035,1.6
VCOMP63,VCOMP63-4,0.013539,0.1,1.6
VCOMP64,VCOMP64-0,3.12247,-0.1,1
VCOMP64,VCOMP64-1,0.0151644,0.1,1
VCOMP65,VCOMP65-0,3.01049,-1,0.1
VCOMP65,VCOMP65-1,0.0146156,1,0.1
VCOMP67,VCOMP67-0,11.9942,-3,0.0333333
VCOMP67,VCOMP67-1,0,3,0.0333333
VCOMP69,VCOMP69-0,12.0092,-3,0.0333333
VCOMP69,VCOMP69-1,0,3,0.0333333
VCOMP71,VCOMP71-0,7.40791,-3,0.0333333
VCOMP71,VCOMP71-1,0,3,0.0333333
VCOMP73,VCOMP73-0,7.39361,-3,0.0333333
VCOMP73,VCOMP73-1,0,3,0.0333333
VCOMP75,VCOMP75-0,5.01566,-0.1,1.33333
VCOMP75,VCOMP75-1,0.016085,0.0500001,1.33333
VCOMP75,VCOMP75-2,0.016085,0.0500001,1.33333
