x,y,layer1,layer2,voltage1,voltage2,current
89.6365,3717.45,INNER_1,INNER_2,0.0162529,0.0162523,0.00182488
89.6365,3717.45,INNER_2,BOTTOM_LAYER,0.0162523,0.0162529,-0.0109833
89.6365,3953.67,TOP_LAYER,INNER_1,0.0161309,0.016131,-0.00153886
89.6365,3953.67,INNER_1,INNER_2,0.016131,0.016129,0.00655546
89.6365,3953.67,INNER_2,BOTTOM_LAYER,0.016129,0.0161296,-0.0112705
89.6365,4071.78,TOP_LAYER,INNER_1,0.0160962,0.0160961,0.00113848
89.6365,4071.78,INNER_1,INNER_2,0.0160961,0.0160945,0.00500092
89.6365,4071.78,INNER_2,BOTTOM_LAYER,0.0160945,0.0160954,-0.0143071
89.6365,4189.89,TOP_LAYER,INNER_1,0.0160666,0.0160666,0.000587542
89.6365,4189.89,INNER_1,INNER_2,0.0160666,0.0160652,0.00460019
89.6365,4189.89,INNER_2,BOTTOM_LAYER,0.0160652,0.0160658,-0.0117684
89.6365,4308,TOP_LAYER,INNER_1,0.0160435,0.0160434,0.0015497
89.6365,4308,INNER_1,INNER_2,0.0160434,0.0160418,0.00535647
89.6365,4308,INNER_2,BOTTOM_LAYER,0.0160418,0.0160422,-0.00839486
89.6365,4426.11,TOP_LAYER,INNER_1,0.0160282,0.0160273,0.0153734
89.6365,4426.11,INNER_1,INNER_2,0.0160273,0.0160239,0.0110748
89.6365,4426.11,INNER_2,BOTTOM_LAYER,0.0160239,0.0160243,-0.00676054
89.6365,4839.5,TOP_LAYER,INNER_1,3.31322,3.31322,5.55227e-05
89.6365,4839.5,INNER_1,INNER_2,3.31322,3.31322,5.55227e-05
89.6365,4839.5,INNER_2,BOTTOM_LAYER,3.31322,3.31322,5.55227e-05
89.6365,5075.72,TOP_LAYER,INNER_1,3.31316,3.31316,-0.00209263
89.6365,5075.72,INNER_1,INNER_2,3.31316,3.31316,-0.00209263
89.6365,5075.72,INNER_2,BOTTOM_LAYER,3.31316,3.31316,-0.00209263
89.6365,5193.83,TOP_LAYER,INNER_1,3.31313,3.31313,-0.000957153
89.6365,5193.83,INNER_1,INNER_2,3.31313,3.31313,-0.000957153
89.6365,5193.83,INNER_2,BOTTOM_LAYER,3.31313,3.31313,-0.000957153
89.6365,5311.94,TOP_LAYER,INNER_1,3.3131,3.3131,-0.00270512
89.6365,5311.94,INNER_1,INNER_2,3.3131,3.3131,-0.00270512
89.6365,5311.94,INNER_2,BOTTOM_LAYER,3.3131,3.3131,-0.00270512
89.6365,5430.05,TOP_LAYER,INNER_1,3.31307,3.31307,-0.00992564
89.6365,5430.05,INNER_1,INNER_2,3.31307,3.31307,-0.00992564
89.6365,5430.05,INNER_2,BOTTOM_LAYER,3.31307,3.31307,-0.00992564
89.6365,5607.21,TOP_LAYER,INNER_1,0.0153266,0.0153271,-0.00768011
89.6365,5607.21,INNER_1,INNER_2,0.0153271,0.0153271,-0.000107781
89.6365,5607.21,INNER_2,BOTTOM_LAYER,0.0153271,0.0153267,0.00756411
89.6365,5725.32,TOP_LAYER,INNER_1,0.0153242,0.0153243,-0.00137843
89.6365,5725.32,INNER_1,INNER_2,0.0153243,0.0153246,-0.000783171
89.6365,5725.32,INNER_2,BOTTOM_LAYER,0.0153246,0.0153245,0.000205041
89.6365,5843.43,TOP_LAYER,INNER_1,0.015322,0.0153221,-0.000723778
89.6365,5843.43,INNER_1,INNER_2,0.0153221,0.0153221,2.06482e-08
89.6365,5843.43,INNER_2,BOTTOM_LAYER,0.0153221,0.0153221,-0.000822238
89.6369,2772.57,TOP_LAYER,INNER_1,25.1567,25.1567,2.5296e-10
89.6369,2772.57,INNER_1,INNER_2,25.1567,25.1567,2.53687e-10
89.6369,2772.57,INNER_2,BOTTOM_LAYER,25.1567,25.1567,3.162e-10
101.448,4953.67,TOP_LAYER,INNER_1,0.0156316,0.0156316,6.17579e-14
101.448,4953.67,INNER_1,INNER_2,0.0156316,0.0156317,-0.000383784
